2010/08/02,ETom,AnyConnect2.5-2 Regress,7.5
2010/08/03,ETom,Others,1
2010/08/03,ETom,AnyConnect2.5-2 Regress,9
2010/08/04,ETom,Others,1
2010/08/04,ETom,AnyConnect2.5-2 Regress,9.5
2010/08/05,ETom,Meeting,1
2010/08/05,ETom,Others,1
2010/08/05,ETom,AnyConnect2.5-2 Regress,4
2010/08/05,ETom,NAC4.8 BAT,3
2010/08/06,ETom,Meeting,1.5
2010/08/06,ETom,Others,1
2010/08/06,ETom,AnyConnect2.5-2 Regress,1.5
2010/08/06,ETom,NAC4.8 BAT,4.5
2010/08/16,ETom,Meeting,0.5
2010/08/16,ETom,Others,1.5
2010/08/16,ETom,AnyConnect2.5-2 Regress,2
2010/08/16,ETom,NAC4.8 BAT,5
2010/08/17,ETom,Others,1
2010/08/17,ETom,NAC4.8 BAT,8
2010/08/18,ETom,Others,1
2010/08/18,ETom,AnyConnect for WM Prep,4
2010/08/18,ETom,NAC4.8 BAT,4
2010/08/19,ETom,Others,1
2010/08/19,ETom,NAC4.8 BAT,8
2010/08/20,ETom,Meeting,2
2010/08/20,ETom,Others,0.5
2010/08/20,ETom,AnyConnect2.5-2 Regress,2.5
2010/08/20,ETom,NAC4.8 BAT,4
2010/08/30,ETom,Others,0.5
2010/08/30,ETom,AnyConnect2.5-2 Regress,9
2010/08/31,ETom,Others,0.5
2010/08/31,ETom,AnyConnect2.5-2 Regress,9
2010/09/01,ETom,Others,1
2010/09/01,ETom,AnyConnect2.5-2 Regress,3
2010/09/01,ETom,NAC4.8 BAT,6
2010/09/02,ETom,Meeting,1
2010/09/02,ETom,Others,0.5
2010/09/02,ETom,AnyConnect2.5-2 Regress,3.5
2010/09/02,ETom,AnyConnect2.5-2 Report,4
2010/09/02,ETom,NAC4.8 BAT,2
2010/09/03,ETom,Meeting,1
2010/09/03,ETom,Others,1
2010/09/03,ETom,AnyConnect2.5-2 Report,4
2010/09/03,ETom,NAC4.8 BAT,2.5
2010/09/06,ETom,Meeting,0.5
2010/09/06,ETom,Others,1
2010/09/06,ETom,AnyConnect for WM  GUI,2.5
2010/09/06,ETom,NAC4.8 BAT,4.5
2010/09/07,ETom,Others,1
2010/09/07,ETom,NAC4.8 BAT,8
2010/09/08,ETom,Others,1
2010/09/08,ETom,NAC4.8 BAT,7.5
2010/09/09,ETom,Meeting,1
2010/09/09,ETom,Others,1
2010/09/09,ETom,AnyConnect for WM  Report,6.5
2010/09/10,ETom,Others,1
2010/09/10,ETom,AnyConnect for WM  Report,6.5
2010/09/13,ETom,Meeting,0.5
2010/09/13,ETom,Others,0.5
2010/09/13,ETom,AnyConnect for WM  TS,6
2010/09/14,ETom,Others,0.5
2010/09/14,ETom,MP8.0 BAT,4.5
2010/09/14,ETom,AnyConnect for WM  TS,3.5
2010/09/15,ETom,Meeting,1
2010/09/15,ETom,Others,1
2010/09/15,ETom,MP8.0 BAT,5
2010/09/15,ETom,AnyConnect for WM  TS,1
2010/09/16,ETom,Meeting,1
2010/09/16,ETom,Others,0.5
2010/09/16,ETom,AnyConnect for WM  TS,7
2010/09/17,ETom,Others,0.5
2010/09/17,ETom,AnyConnect for WM  TS,3
2010/09/17,ETom,NAC4.8 Report,5
2010/09/21,ETom,Meeting,1
2010/09/21,ETom,Others,0.5
2010/09/21,ETom,AnyConnect for WM  TS,2
2010/09/21,ETom,AnyConnect for WM  Report,4
2010/09/22,ETom,Others,0.5
2010/09/22,ETom,AnyConnect for WM  TS,1
2010/09/22,ETom,AnyConnect for WM  Report,4.5
2010/09/22,ETom,NAC4.8 Report,2.5
2010/09/24,ETom,Others,1
